-,-,-,Форма контроля,,,,з.е.,,Итого акад.часов,,,,,,,Курс 1,,Курс 2,,Курс 3,,Курс 4,,Курс 5,,Курс 6,,Закрепленная кафедра,
,,,,,,,,,,,,,,,,Семестр 1,Семестр 2,Семестр 3,Семестр 4,Семестр 5,Семестр 6,Семестр 7,Семестр 8,Семестр 9,Семестр A,Семестр B,Семестр C,,
Считать в плане,Индекс,Наименование,Экза мен,Зачет,Зачет с оц.,КР,Экспер тное,Факт,Экспер тное,По плану,Конт. раб.,Ауд.,СР,Конт роль,Пр. подгот,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,з.е.,Код,Наименование
+,Б1.О.11,Основы построения защищённых компьютерных сетей,A,,,,4,4,144,144,72,72,36,36,,,,,,,,,,,4,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.12,Основы построения защищенных баз данных,A,,,,5,5,180,180,90,90,54,36,,,,,,,,,,,5,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.13,Методы и средства криптографической защиты информации,89,,,,11,11,396,396,180,180,144,72,,,,,,,,,5,6,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.14,Криптографические протоколы,9,,,,5,5,180,180,72,72,72,36,,,,,,,,,,5,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.15,Физическая культура и спорт,,1256,,,2,2,72,72,72,72,,,,0.5,0.5,,,0.5,0.5,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.16,Прикладная физическая культура и спорт,,123456,,,,,328,328,328,328,,,,,,,,,,,,,,,,346,Кафедра физической культуры (ФК_ИФКСТ)
+,Б1.О.17,Правоведение,,2,,,3,3,108,108,72,72,36,,,,3,,,,,,,,,,,226,Кафедра иностранного права и сравнительного правоведения (ИПиСП_ОЮ)
+,Б1.О.18,Личностное развитие и командообразование,,5,,,4,4,144,144,72,72,72,,,,,,,4,,,,,,,,383,Кафедра информационных технологий обучения и непрерывного образования (ИТОиНО_ИППС)
+,Б1.О.19,Теория и практика эффективного речевого общения,,4,,,3,3,108,108,54,54,54,,,,,,3,,,,,,,,,388,Кафедра русского языка и  речевой коммуникации (РЯиРК_ИФИЯК)
+,Б1.О.20,Экономическая культура и финансовая грамотность,,6,,,3,3,108,108,54,54,54,,,,,,,,3,,,,,,,443,Кафедра экономики и управления бизнес-процессами
+,Б1.О.21,Введение в профессиональную деятельность,,2,,,3,3,108,108,54,54,54,,,,3,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.22,Организационное и правовое обеспечение информационной безопасности,,9,,,3,3,108,108,72,72,36,,,,,,,,,,,3,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.23,Алгебра,2,1,,,7,7,252,252,126,126,90,36,,3,4,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.24,Аналитическая геометрия,1,,,,5,5,180,180,72,72,72,36,,5,,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.25,Дополнительные главы алгебры,3,,,,5,5,180,180,72,72,72,36,,,,5,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.26,Математический анализ,2,1,,,10,10,360,360,180,180,144,36,,5,5,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.27,Дополнительные главы математического анализа,4,3,,,9,9,324,324,162,162,126,36,,,,4,5,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.28,Дискретная математика,2,,,,5,5,180,180,72,72,72,36,,,5,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.29,Математическая логика и теория алгоритмов,,3,,3,4,4,144,144,54,54,90,,,,,4,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.30,Теория вероятностей и математическая статистика,45,,,,10,10,360,360,144,144,144,72,,,,,5,5,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.31,Дифференциальные уравнения,,4,,,3,3,108,108,72,72,36,,,,,,3,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.32,Теория функций комплексного переменного,,5,,,3,3,108,108,54,54,54,,,,,,,3,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.33,Численные методы,,6,,,2,2,72,72,54,54,18,,,,,,,,2,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.34,Исследование операций,7,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.35,Физика,3,2,,,8,8,288,288,126,126,126,36,,,4,4,,,,,,,,,,141,Кафедра физики  (Ф2_ИФО)
+,Б1.О.36,Сети и системы передачи информации,7,,,,5,5,180,180,72,72,72,36,,,,,,,,5,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.37,Электроника и схемотехника,5,4,,,10,10,360,360,144,144,180,36,,,,,4,6,,,,,,,,97,"Кафедра систем автоматики, автоматизированного управления и проектирования (СААУП_ИКИТ)"
+,Б1.О.38,Информатика,1,,,,4,4,144,144,54,54,54,36,,4,,,,,,,,,,,,93,Кафедра информатики (И_ИКИТ)
+,Б1.О.39,Информационные технологии,,3,,,3,3,108,108,72,72,36,,,,,3,,,,,,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.40,Аппаратные средства вычислительной техники,,5,,,3,3,108,108,72,72,36,,,,,,,3,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.41,Языки программирования,2,1,,,8,8,288,288,126,126,126,36,,4,4,,,,,,,,,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.42,Языки программирования. Дополнительные разделы,4,3,,,9,9,324,324,144,144,144,36,,,,4,5,,,,,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.43,Технологии и методы программирования,,8,,,3,3,108,108,72,72,36,,,,,,,,,,3,,,,,92,Кафедра вычислительной техники (ВТ_ИКИТ)
+,Б1.О.44,Параллельное программирование,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,,,,,359,Кафедра высокопроизводительных вычислений (ВПВ_ИКИТ)
+,Б1.О.45,Теория информации,6,,,,3,3,108,108,54,54,18,36,,,,,,,3,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.46,Теоретико-числовые методы в криптографии,6,,,,5,5,180,180,72,72,72,36,,,,,,,5,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.47,Защита программ и данных,8,,,,5,5,180,180,72,72,72,36,,,,,,,,,5,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.48,Открытые информационные системы,,A,,,4,4,144,144,72,72,72,,,,,,,,,,,,4,,,94,Кафедра информационных систем (ИС_ИКИТ)
+,Б1.О.49,Основы научных исследований,,7,,,2,2,72,72,36,36,36,,,,,,,,,2,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.О.50,Основы управленческой деятельности,,9,,,3,3,108,108,72,72,36,,,,,,,,,,,3,,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.О.51,Искусственный интеллект при принятии решений,,A,,,3,3,108,108,72,72,36,,,,,,,,,,,,3,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.О.52,Документоведение и документооборот,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,,,,,98,Кафедра систем искусственного интеллекта (КСИИ_ИКИТ)
+,Б1.О.53,Английский язык для профессиональных целей,,56,,,4,4,144,144,72,72,72,,,,,,,2,2,,,,,,,96,Кафедра разговорного иностранного языка (РИЯ_ИКИТ)
+,Б1.О.54,Акмеология,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,35,35,1260,1260,612,612,504,144,,,,,,,3,3,4,13,12,,,,
+,Б1.В.01,Программно-аппаратные средства защиты информации,9,8,,,10,10,360,360,180,180,144,36,,,,,,,,,4,6,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.02,Междисциплинарный курсовой проект,,A,,A,3,3,108,108,36,36,72,,,,,,,,,,,,3,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.03,Управление информационной безопасностью,9,,,,5,5,180,180,72,72,72,36,,,,,,,,,,5,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.04,Комплексная защита информации,A,,,,5,5,180,180,72,72,72,36,,,,,,,,,,,5,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.05,Администрирование средств защиты информации в компьютерных системах и сетях,A,9,,,6,6,216,216,108,108,72,36,,,,,,,,,,2,4,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.ДВ.01,Дисциплины по выбору Б1.В.ДВ.1,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,,,,,,
+,Б1.В.ДВ.01.01,Математическое моделирование в задачах информационной безопасности,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.01.02,Разработка и эксплуатация защищенных автоматизированных систем,,7,,,3,3,108,108,72,72,36,,,,,,,,,3,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б1.В.ДВ.02,Дисциплины по выбору Б1.В.ДВ.2,,6,,,3,3,108,108,72,72,36,,,,,,,,3,,,,,,,,
+,Б1.В.ДВ.02.01,Модели безопасности компьютерных систем,,6,,,3,3,108,108,72,72,36,,,,,,,,3,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
-,Б1.В.ДВ.02.02,Основы вычислительного эксперимента,,6,,,3,3,108,108,72,72,36,,,,,,,,3,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
Блок 2.Практика ,,,,,,,36,36,1296,1296,18,18,1278,,,,3,,3,,3,1,3,2,,21,,,
Обязательная часть ,,,,,,,30,30,1080,1080,18,18,1062,,,,3,,,,,1,3,2,,21,,,
+,Б2.О.01(У),Ознакомительная практика,,2,,,3,3,108,108,,,108,,,,3,,,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.О.02(П),Научно-исследовательская работа. Часть 1,,789,,,6,6,216,216,18,18,198,,,,,,,,,1,3,2,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.О.03(П),Научно-исследовательская работа. Часть 2,,B,,,3,3,108,108,,,108,,,,,,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.О.04(П),Преддипломная практика,,,B,,18,18,648,648,,,648,,,,,,,,,,,,,18,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
"Часть, формируемая участниками образовательных отношений ",,,,,,,6,6,216,216,,,216,,,,,,3,,3,,,,,,,,
+,Б2.В.01(У),Учебно-лабораторный практикум,,4,,,3,3,108,108,,,108,,,,,,3,,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б2.В.02(П),Эксплуатационно-технологическая практика,,,6,,3,3,108,108,,,108,,,,,,,,3,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
Блок 3.Государственная итоговая аттестация ,,,,,,,9,9,324,324,14,14,274,36,,,,,,,,,,,,9,,,
+,Б3.01(Д),Подготовка к процедуре защиты и защита выпускной квалификационной работы,,,,,6,6,216,216,,,216,,,,,,,,,,,,,6,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,Б3.02(Г),Подготовка к сдаче и сдача государственного экзамена,B,,,,3,3,108,108,14,14,58,36,,,,,,,,,,,,3,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
ФТД.Факультативные дисциплины ,,,,,,,4,4,144,144,54,54,90,,,,,,,2,,,2,,,,,,
+,ФТД.01,Основы стеганографии,,8,,,2,2,72,72,36,36,36,,,,,,,,,,2,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
+,ФТД.02,Цифровая обработка сигналов,,5,,,2,2,72,72,18,18,54,,,,,,,2,,,,,,,,95,Кафедра прикладной математики и компьютерной безопасности (ПМКБ_ИКИТ)
